transaction_id,date,amount,exemption_flag,exemption_type,customer_category,payment_channel,region
1,2024-01-12 12:36:44,38.09320213971546,False,None,Corporate,Cartão,Norte
2,2023-10-22 06:41:18,146.3236735737341,False,None,Retail,Cartão,Centro-Oeste
3,2024-01-13 23:57:30,46.92157426166285,False,None,Corporate,PIX,Sudeste
4,2024-02-23 20:42:47,32.4026516145084,False,None,Corporate,Cartão,Sudeste
5,2023-12-19 00:03:08,24.42697097404076,True,Promoção,Corporate,Boleto,Nordeste
6,2023-09-20 02:38:12,51.108991805457535,True,CoberturaEspecial,Government,Cartão,Sul
7,2023-05-14 20:41:29,41.28847839874309,False,None,Corporate,Cartão,Norte
8,2024-02-22 10:37:10,46.128789352039234,False,None,Retail,Cartão,Norte
9,2023-10-04 19:43:06,47.604722187675506,False,None,Retail,PIX,Sul
10,2024-02-17 10:04:58,56.45098530762978,False,None,Retail,Cartão,Nordeste
11,2024-03-22 02:05:11,62.7041975265487,True,ErroSistema,Retail,Cartão,Nordeste
12,2024-01-21 13:30:28,52.19763801437664,False,None,Retail,Cartão,Nordeste
13,2023-08-08 10:35:19,45.19306175360534,False,None,Retail,Boleto,Centro-Oeste
14,2023-12-20 22:41:27,50.37145307143704,False,None,Retail,PIX,Norte
15,2023-08-18 20:07:30,44.91144549110568,False,None,Retail,Cartão,Nordeste
16,2023-12-21 12:54:45,25.361699695503184,False,None,Corporate,Cartão,Nordeste
17,2023-07-13 16:54:12,66.37919256934363,False,None,Corporate,PIX,Sul
18,2023-06-15 15:45:05,63.55158293731706,False,None,Government,PIX,Sudeste
19,2023-09-27 11:56:07,79.82500990370895,True,Promoção,Retail,PIX,Sudeste
20,2023-11-19 15:08:27,84.20748959716411,True,CoberturaEspecial,Retail,Boleto,Sudeste
21,2023-06-10 07:56:13,32.3596980162086,True,ErroSistema,Retail,PIX,Norte
22,2023-06-27 16:11:17,44.96900119431757,False,None,Retail,Cartão,Centro-Oeste
23,2023-05-27 17:06:09,87.67309395305213,False,None,Retail,Boleto,Norte
24,2023-08-03 06:05:51,49.39174076626648,False,None,Retail,PIX,Sul
25,2023-04-20 04:42:35,53.66316353820128,False,None,Retail,Cartão,Nordeste
26,2023-10-20 18:33:56,27.18305072458131,False,None,Corporate,Cartão,Norte
27,2023-05-03 14:45:52,52.25432947365161,False,None,Corporate,PIX,Sudeste
28,2023-08-10 05:57:13,78.97910562138634,True,CoberturaEspecial,Retail,Boleto,Centro-Oeste
29,2023-06-23 13:33:09,69.29938715155292,False,None,Retail,Boleto,Sul
30,2024-04-04 06:26:04,40.85023067722185,False,None,Retail,Cartão,Nordeste
31,2023-08-09 05:19:39,44.055254501473755,False,None,Retail,Cartão,Centro-Oeste
32,2023-08-04 16:54:08,33.03649561258605,False,None,Government,Cartão,Norte
33,2023-06-24 11:17:46,37.23255289625441,True,Promoção,Corporate,PIX,Norte
34,2023-08-20 04:14:50,21.346821068202953,False,None,Retail,PIX,Centro-Oeste
35,2023-06-28 18:16:30,48.72770488010386,False,None,Retail,Cartão,Centro-Oeste
36,2024-03-16 03:10:33,72.65166019895617,False,None,Retail,Cartão,Nordeste
37,2023-09-19 05:08:43,55.33147886140624,False,None,Retail,Cartão,Sudeste
38,2023-12-23 19:49:15,70.49358484948598,False,None,Government,Cartão,Centro-Oeste
39,2024-03-31 07:37:51,66.09874101388998,True,Promoção,Corporate,Cartão,Nordeste
40,2024-02-21 15:26:06,41.797878656410575,True,VIP,Retail,Cartão,Centro-Oeste
41,2023-09-12 09:30:37,38.60740007890327,False,None,Retail,PIX,Centro-Oeste
42,2023-12-07 02:15:25,39.182231647228164,True,VIP,Corporate,PIX,Sudeste
